Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,376478335,4830.026116489315,22458285,288.1284073931112,1913949,5666064,72.69272771751903,64229,0.8240254978709266,6331,
United States of America,Americas,73531094,22214.654,3377497,1020.384,0,875755,264.576,15642,4.726,0
India,South-East Asia,41469499,3005.027,1670297,121.036,167059,496242,35.959,5780,0.419,1192
Brazil,Americas,25348797,11925.511,1304542,613.731,134175,626854,294.908,3757,1.768,330
France,Europe,18643094,28664.326,2312762,3555.942,82378,128139,197.018,1875,2.883,347
The United Kingdom,Europe,17315897,25507.315,620109,913.456,92368,155754,229.435,1838,2.707,51
Russian Federation,Europe,11986913,8213.902,745804,511.054,125836,332012,227.508,4564,3.127,663
Turkey,Europe,11618991,13776.523,605730,718.208,93261,87416,103.648,1291,1.531,182
Italy,Europe,10983116,18415.228,981772,1646.123,57631,146498,245.631,2623,4.398,349
Germany,Europe,9978146,11997.764,1106351,1330.281,162613,117974,141.852,1014,1.219,188
Spain,Europe,9961253,21045.221,537426,1135.424,18885,93225,196.957,593,1.253,28
Argentina,Americas,8335184,18442.397,472648,1045.779,0,120988,267.698,1820,4.027,0
Iran (Islamic Republic of),Eastern Mediterranean,6373174,7587.749,114993,136.908,28995,132454,157.697,203,0.242,30
Colombia,Americas,5871977,11540.18,131798,259.022,16119,134079,263.505,1839,3.614,247
Mexico,Americas,4930069,3823.752,244318,189.493,13926,305893,237.25,2593,2.011,131
Poland,Europe,4925270,12975.531,340910,898.121,39116,105434,277.764,1337,3.522,240
Netherlands,Europe,4432484,25462.946,478396,2748.204,112278,21277,122.228,59,0.339,5
Indonesia,South-East Asia,4369391,1597.446,75208,27.496,16021,144348,52.774,101,0.037,28
Ukraine,Europe,4095263,9364.077,205775,470.518,30768,100395,229.56,952,2.177,192
South Africa,Africa,3605222,6078.742,22531,37.989,1366,95093,160.336,828,1.396,71
Philippines,Western Pacific,3560202,3248.92,118233,107.895,14546,54003,49.281,484,0.442,112
Peru,Americas,3224406,9779.268,278255,843.917,27918,205505,623.274,1182,3.585,158
Belgium,Europe,3155239,27383.427,235570,2044.445,23,29052,252.134,182,1.58,6
Czechia,Europe,3043084,28456.156,248092,2319.931,29514,37243,348.263,136,1.272,11
Canada,Americas,3036050,8044.188,114665,303.811,9176,33722,89.348,1125,2.981,75
Israel,Europe,2920724,33743.98,446281,5156.015,67580,8804,101.715,227,2.623,18
Malaysia,Western Pacific,2870758,8869.672,34599,106.899,4774,31978,98.801,76,0.235,13
Japan,Western Pacific,2730828,2159.159,513999,406.399,61190,18792,14.858,269,0.213,28
Portugal,Europe,2639802,25639.329,385219,3741.476,27916,19905,193.329,292,2.836,49
Thailand,South-East Asia,2447964,3507.113,56607,81.099,7422,22185,31.784,128,0.183,12
Viet Nam,Western Pacific,2275727,2337.95,119943,123.222,12674,37777,38.81,893,0.917,109
Romania,Europe,2216525,11467.451,187314,969.091,20131,60025,310.546,437,2.261,41
Switzerland,Europe,2211504,25552.878,186930,2159.887,48,12285,141.947,47,0.543,0
Iraq,Eastern Mediterranean,2210582,5495.885,50589,125.773,7217,24389,60.635,89,0.221,13
Australia,Western Pacific,2182618,8559.325,500561,1962.993,30447,3758,14.737,604,2.369,42
Chile,Americas,2165984,11330.62,181794,950.994,28241,39721,207.787,186,0.973,37
Sweden,Europe,2070456,20047.816,175900,1703.205,0,15855,153.521,44,0.426,0
Greece,Europe,1940723,18106.183,128339,1197.352,19731,23500,219.246,752,7.016,128
Austria,Europe,1862691,20926.611,226673,2546.583,24818,13617,152.982,57,0.64,4
Bangladesh,South-East Asia,1811987,1100.245,95990,58.285,13154,28425,17.26,169,0.103,31
Denmark,Europe,1742569,29926.841,304388,5227.553,29084,3755,64.488,134,2.301,17
Serbia,Europe,1677798,24222.166,117852,1701.415,15352,13629,196.76,323,4.663,59
Hungary,Europe,1562827,15996.958,111725,1143.607,9422,41471,424.493,453,4.637,66
Pakistan,Eastern Mediterranean,1425039,645.128,50239,22.744,7048,29269,13.25,164,0.074,21
Kazakhstan,Europe,1325293,7058.176,73028,388.929,5479,18528,98.675,125,0.666,20
Jordan,Eastern Mediterranean,1225309,12009.143,72783,713.34,16226,13217,129.539,129,1.264,24
Georgia,Europe,1200124,30084.516,124970,3132.728,24201,15016,376.419,242,6.066,36
Ireland,Europe,1183008,23829.636,33348,671.737,3872,6136,123.599,49,0.987,0
Morocco,Eastern Mediterranean,1132716,3068.813,31553,85.485,1321,15400,41.722,233,0.631,38
Cuba,Americas,1044790,9224.203,19371,171.022,4948,8399,74.153,32,0.283,2
Slovakia,Europe,1022784,18739.608,93243,1708.413,14643,17850,327.05,152,2.785,20
Nepal,South-East Asia,957570,3286.462,29690,101.899,3657,11752,40.334,85,0.292,9
Bulgaria,Europe,951965,13694.418,60688,873.022,10151,33318,479.293,522,7.509,158
Croatia,Europe,937167,23093.369,58276,1436.018,1445,13827,340.72,376,9.265,50
Lebanon,Eastern Mediterranean,921208,13496.673,54314,795.758,6279,9606,140.738,107,1.568,16
Tunisia,Eastern Mediterranean,909813,7698.133,53074,449.071,2574,26288,222.429,289,2.445,17
Republic of Korea,Western Pacific,864042,1685.305,114071,222.494,18343,6772,13.209,184,0.359,17
Bolivia (Plurinational State of),Americas,852280,7301.28,38671,331.285,2083,20919,179.208,289,2.476,28
United Arab Emirates,Eastern Mediterranean,845058,8544.223,16730,169.154,2028,2243,22.679,24,0.243,3
Norway,Europe,765057,14253.295,122357,2279.556,2336,1440,26.828,5,0.093,1
Belarus,Europe,742953,7862.501,14149,149.736,1965,6052,64.047,103,1.09,13
Slovenia,Europe,710821,33915.465,98726,4710.522,8575,6342,302.596,33,1.575,1
Ecuador,Americas,707224,4008.512,25842,146.471,0,34442,195.216,113,0.64,0
Panama,Americas,697124,16156.701,52441,1215.384,4490,7716,178.828,118,2.735,18
Guatemala,Americas,689609,3849.217,19779,110.401,1283,16379,91.423,111,0.62,6
Lithuania,Europe,688685,24647.918,70892,2537.212,9172,7898,282.668,116,4.152,26
Saudi Arabia,Eastern Mediterranean,687264,1974.11,30072,86.379,4211,8940,25.679,18,0.052,4
Costa Rica,Americas,682480,13397.412,29351,576.174,0,7533,147.876,63,1.237,0
Uruguay,Americas,661441,19041.232,72446,2085.539,7588,6459,185.938,151,4.347,23
Azerbaijan,Europe,658470,6494.315,23982,236.528,2186,8734,86.141,115,1.134,14
Sri Lanka,South-East Asia,611185,2854.238,7531,35.17,0,15441,72.11,111,0.518,0
Paraguay,Americas,576809,8087.009,39832,558.455,6340,17260,241.99,290,4.066,29
Dominican Republic,Americas,555245,5118.451,13189,121.581,1193,4307,39.704,18,0.166,2
Kuwait,Eastern Mediterranean,545717,12778.549,43087,1008.928,6063,2497,58.47,10,0.234,1
Myanmar,South-East Asia,535532,984.257,1149,2.112,0,19310,35.49,0,0,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,535160,10490.425,46561,912.708,10444,5104,100.051,43,0.843,6
Finland,Europe,493114,8924.669,29812,539.555,1343,1990,36.016,1,0.018,0
Venezuela (Bolivarian Republic of),Americas,484021,1702.145,14455,50.834,2646,5440,19.131,35,0.123,4
Ethiopia,Africa,465158,404.613,2644,2.3,228,7337,6.382,72,0.063,6
Puerto Rico,Americas,457501,15991.769,13192,461.121,878,3855,134.75,151,5.278,1
Republic of Moldova,Europe,445046,11032.476,32815,813.468,4348,10666,264.405,124,3.074,24
Mongolia,Western Pacific,444606,13562.131,14260,434.983,1196,2040,62.228,15,0.458,4
Libya,Eastern Mediterranean,429666,6253.06,21908,318.834,4429,6017,87.567,81,1.179,10
Egypt,Eastern Mediterranean,425911,416.195,14162,13.839,2223,22635,22.119,239,0.234,31
Latvia,Europe,392764,20588.622,53270,2792.404,3775,4873,255.442,74,3.879,5
Honduras,Americas,391874,3956.482,3438,34.711,0,10504,106.052,22,0.222,0
Bahrain,Eastern Mediterranean,374575,22013.429,40411,2374.917,5808,1408,82.747,9,0.529,1
Armenia,Europe,370922,12517.472,17191,580.143,3127,8056,271.865,24,0.81,3
Singapore,Western Pacific,352811,6030.605,36037,615.981,4481,855,14.615,7,0.12,1
Bosnia and Herzegovina,Europe,347467,10590.875,13326,406.18,816,14447,440.348,362,11.034,78
Estonia,Europe,344060,25889.106,42452,3194.339,6517,2037,153.276,24,1.806,4
Qatar,Eastern Mediterranean,339147,11771.633,13054,453.098,1509,645,22.388,9,0.312,0
Oman,Eastern Mediterranean,338880,6636.084,14795,289.722,2420,4146,81.189,17,0.333,3
Kenya,Africa,321381,597.681,982,1.826,46,5583,10.383,25,0.046,3
Zambia,Africa,305047,1659.311,3123,16.988,125,3917,21.307,17,0.092,2
North Macedonia,Europe,268901,12906.959,11914,571.859,710,8409,403.623,155,7.44,22
Albania,Europe,258543,8984.05,9684,336.507,522,3346,116.269,34,1.181,4
Cyprus,Europe,256746,28912.675,17973,2023.975,3396,733,82.545,20,2.252,2
Nigeria,Africa,253181,122.82,753,0.365,158,3136,1.521,10,0.005,1
Botswana,Africa,253036,10760.04,7132,303.279,2290,2581,109.754,16,0.68,1
Algeria,Africa,252117,574.94,13232,30.175,1343,6579,15.003,71,0.162,13
Zimbabwe,Africa,229666,1545.228,1125,7.569,206,5338,35.915,33,0.222,1
Uzbekistan,Europe,224023,669.341,7837,23.416,1015,1568,4.685,23,0.069,4
Mozambique,Africa,223827,716.122,1175,3.759,16,2173,6.952,14,0.045,3
Montenegro,Europe,219770,34991.768,5806,924.431,462,2555,406.807,42,6.687,3
Kosovo[1],Europe,205895,11466.219,22249,1239.039,1593,3005,167.347,15,0.835,3
Kyrgyzstan,Europe,198518,3042.799,2286,35.039,202,2884,44.205,30,0.46,4
Réunion,Africa,180531,20164.032,0,0,0,500,55.846,0,0,0
Afghanistan,Eastern Mediterranean,162750,418.076,2854,7.331,610,7414,19.045,21,0.054,5
Uganda,Africa,161929,354.013,1151,2.516,90,3538,7.735,41,0.09,5
Luxembourg,Europe,157985,25232.867,14918,2382.656,134,952,152.05,7,1.118,1
Ghana,Africa,156920,505.005,1255,4.039,115,1395,4.489,25,0.08,2
Namibia,Africa,155899,6135.57,644,25.345,177,3967,156.125,53,2.086,5
China,Western Pacific,139205,9.461,1623,0.11,213,5700,0.387,0,0,0
Maldives,South-East Asia,138880,25692.636,16103,2979.036,0,276,51.06,5,0.925,0
El Salvador,Americas,134155,2068.313,7143,110.126,0,3899,60.112,42,0.648,8
Lao People's Democratic Republic,Western Pacific,133853,1839.762,3560,48.931,329,547,7.518,20,0.275,3
Rwanda,Africa,128891,995.127,686,5.296,50,1440,11.118,7,0.054,2
Jamaica,Americas,124512,4204.829,3830,129.341,410,2658,89.762,59,1.992,8
Cambodia,Western Pacific,121355,725.852,289,1.729,56,3015,18.033,0,0,0
Cameroon,Africa,116718,439.684,2605,9.813,0,1880,7.082,13,0.049,0
Trinidad and Tobago,Americas,111549,7970.701,5132,366.706,359,3404,243.232,102,7.288,9
Guadeloupe,Americas,104179,26036.679,13430,3356.459,0,855,213.684,11,2.749,0
Angola,Africa,98076,298.409,813,2.474,0,1895,5.766,7,0.021,0
Martinique,Americas,87634,23352.564,10559,2813.745,0,832,221.71,11,2.931,0
Democratic Republic of the Congo,Africa,85379,95.33,619,0.691,0,1278,1.427,0,0,0
Senegal,Africa,84999,507.641,625,3.733,63,1946,11.622,17,0.102,2
Malawi,Africa,84475,441.585,548,2.865,55,2561,13.387,33,0.173,3
Côte d’Ivoire,Africa,80718,306.002,469,1.778,23,785,2.976,6,0.023,0
French Guiana,Americas,75242,25191.341,1551,519.281,0,371,124.212,10,3.348,0
Suriname,Americas,73351,12503.75,3277,558.613,189,1261,214.956,22,3.75,1
